term,mention_count,pct_of_reviews
acne,706,30.21
bleeding,520,22.25
cramps,471,20.15
weight gain,422,18.06
nausea,261,11.17
headaches,234,10.01
anxiety,222,9.5
cramping,202,8.64
depression,193,8.26
depressed,154,6.59
pain,148,6.33
migraines,108,4.62
bloating,107,4.58
breasts,88,3.77
breast tenderness,86,3.68
pimples,59,2.52
sore,51,2.18
pains,47,2.01
bad cramps,40,1.71
mood swings,38,1.63
irritable,38,1.63
panic,37,1.58
headache,35,1.5
bleed,34,1.45
moodiness,33,1.41
cystic acne,33,1.41
fatigue,31,1.33
dizziness,26,1.11
pcos,25,1.07
hair loss,23,0.98
