term,mention_count,pct_of_reviews
bleeding,1379,41.61
acne,671,20.25
weight gain,645,19.46
depression,354,10.68
pain,323,9.75
cramps,290,8.75
headaches,283,8.54
anxiety,235,7.09
depressed,211,6.37
bleed,175,5.28
cramping,123,3.71
sore,107,3.23
migraines,100,3.02
bruise,98,2.96
nausea,90,2.72
bruising,89,2.69
don&#039;t,79,2.38
mood swings,79,2.38
painless,57,1.72
numb,53,1.6
hair loss,52,1.57
pains,50,1.51
fatigue,50,1.51
bloating,40,1.21
all,35,1.06
headache,33,1.0
moodiness,32,0.97
panic,31,0.94
irritable,31,0.94
bad mood swings,30,0.91
