term,mention_count,pct_of_reviews
bleeding,963,44.81
acne,509,23.69
weight gain,430,20.01
depression,251,11.68
pain,232,10.8
cramps,206,9.59
headaches,193,8.98
anxiety,171,7.96
depressed,138,6.42
bleed,112,5.21
cramping,84,3.91
migraines,70,3.26
bruise,64,2.98
bruising,62,2.89
nausea,60,2.79
sore,57,2.65
don&#039;t,52,2.42
mood swings,48,2.23
hair loss,43,2.0
numb,34,1.58
fatigue,34,1.58
painless,31,1.44
irritable,29,1.35
bloating,29,1.35
headache,25,1.16
pains,25,1.16
spotting,24,1.12
cramp,23,1.07
moodiness,23,1.07
pimples,22,1.02
